id,nom,img_url,time_total,time_prepa,time_repo,time_cuisson,difficylty,budget,numberP,etape,ingredients
0,Biscuits sablés au beurre,https://assets.afcdn.com/recipe/20190704/94701_w96h96c1cx1500cy998cxb3000cyb1996.jpg,40 min,20 min,-,20 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': ""Casser l'oeuf dans un saladier, y ajouter une pincée de sel, le sucre et le sucre vanillé. Mélanger avec une cuillère de bois jusqu'à ce que l'appareil blanchisse.""}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Ajouter la farine, puis mélanger avec les doigts pour obtenir du sable.'}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Ajouter le beurre et pétrir pour obtenir une pâte bien homogène.'}, {'etap_id': 3, 'titre': 'Étape 4', 'description': ""Frapper la pâte en la lançant d'une main à l'autre jusqu'à obtenir une boule régulière. Si la pâte semble trop grasse et molle, y rajouter un peu de farine. ""}, {'etap_id': 4, 'titre': 'Étape 5', 'description': ""Laisser reposer la pâte au réfrigérateur durant un quart d'heure. \nPréchauffer le four à 180°C (thermostat 6).""}, {'etap_id': 5, 'titre': 'Étape 6', 'description': ""Etaler de la farine sur la table et sur le rouleau à pâtisserie, puis étaler la pâte sur 5 millimètres d'épaisseur.""}, {'etap_id': 6, 'titre': 'Étape 7', 'description': ""Découper au couteau, à l'emporte-pièces ou avec un verre les formes que vous souhaitez.""}, {'etap_id': 7, 'titre': 'Étape 8', 'description': 'Poser ces formes sur une tôle beurrée ou recouverte de papier sulfurisé.'}, {'etap_id': 8, 'titre': 'Étape 9', 'description': 'Mettre à four durant 20 min.'}]","[{'id_ingre': 1, 'nom_ingre': 'sucre', 'quantity': '120', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'sucre vanillé', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67644_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'farine', 'quantity': '250', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'beurre', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 5, 'nom_ingre': 'oeuf', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
1,Mug cake fondant au chocolat,https://assets.afcdn.com/recipe/20170529/31181_w96h96c1cx2000cy3000.jpg,3 min,2 min,-,1 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Dans un mug, mettre les carrés de chocolat avec le beurre découpé en parcelles.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Faire fondre 40 secondes au micro-ondes. '}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Mélanger à l'aide d'une cuillère et y ajouter le sucre puis l’œuf. ""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': ""L'aspect un peu gélatineux qui peut y avoir est normal suite au blanc de l’œuf.""}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Incorporer ensuite la farine, tout en mélangeant bien.'}, {'etap_id': 5, 'titre': 'Étape 6', 'description': 'Cuire de nouveau 40 secondes au micro-ondes, attendre un peu et déguster sans risques de se brûler les papilles.'}]","[{'id_ingre': 1, 'nom_ingre': 'chocolat noir', 'quantity': '40', 'image_ingre': 'https://assets.afcdn.com/recipe/20181227/85156_w96h96c1cx1200cy1200cxb2400cyb2400.jpg'}, {'id_ingre': 2, 'nom_ingre': 'beurre', 'quantity': '40', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 3, 'nom_ingre': 'sucre', 'quantity': '30', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'farine', 'quantity': '20', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'oeuf', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
2,Cheese cake (gâteau au fromage blanc) inratable ,https://assets.afcdn.com/recipe/20160331/44172_w96h96c1cx1500cy1000.jpg,1 h 25 min,30 min,-,55 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Préchauffez le four à 180°C (thermostat 6).\nTapissez de papier sulfurisé et préalablement beurré un moule de 23 cm de diamètre. Idéalement, le fond du moule doit être amovible, sinon, laissez bien dépasser le papier pour démouler facilement le gâteau en tirant dessus.\nMélangez les biscuits, la muscade et le beurre fondu.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Tapissez le fond du moule de ce mélange en tassant bien avec le dos d'une cuillère. Placez au réfrigérateur. ""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Battez la faisselle au fouet jusqu'à ce qu'elle soit lisse, puis ajoutez le sucre et la farine et les oeufs un par un. \nAjoutez ensuite la crème et le parfum de votre choix.""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Versez cette préparation sur la croûte biscuitée (si la croûte ""dépasse"" de la crème, enlevez le surplus à la cuillère, cela risque de brûler). '}, {'etap_id': 4, 'titre': 'Étape 5', 'description': ""Enfournez pour 50-55 minutes de cuisson jusqu'à ce que la préparation au fromage soit ferme au toucher.""}, {'etap_id': 5, 'titre': 'Étape 6', 'description': 'Laissez refroidir, démoulez et servez frais.'}]","[{'id_ingre': 1, 'nom_ingre': 'fromage blanc', 'quantity': '500', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67744_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'sucre semoule', 'quantity': '150', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/68916_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 3, 'nom_ingre': 'farine', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'crème fraîche', 'quantity': '25', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67763_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'extrait de vanille', 'quantity': '\xa0', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/68936_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 6, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}, {'id_ingre': 7, 'nom_ingre': 'biscuit', 'quantity': '250', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67750_w96h96c1cx350cy350.jpg'}, {'id_ingre': 8, 'nom_ingre': 'biscuit', 'quantity': '250', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67750_w96h96c1cx350cy350.jpg'}, {'id_ingre': 9, 'nom_ingre': 'beurre doux', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/116000_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 10, 'nom_ingre': 'muscade', 'quantity': '⁄', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67662_w96h96c1cx350cy350.jpg'}]"
3,"Crème anglaise réussie, onctueuse à souhait",https://assets.afcdn.com/recipe/20160405/61763_w96h96c1cx1000cy1500.jpg,40 min,30 min,-,10 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': ""Porter à ébullition le lait en ayant pris soin d'y plonger la gousse de vanille fendue en deux dans sa longueur.""}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Laisser ensuite infuser pendant 10 min, puis retirer la gousse de vanille, et récupérer les grains en la grattant. Délayer ceux ci dans le lait.'}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Dans une seconde casserole, fouetter activement les jaunes d'oeuf et le sucre afin que le mélange blanchisse. ""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': ""Incorporer ensuite petit à petit le lait et rendre l'appareil bien homogène avec le fouet. ""}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Ajouter ensuite la maïzena et réchauffer le mélange à feu moyen.'}, {'etap_id': 5, 'titre': 'Étape 6', 'description': ""Sans cesser de remuer, guetter le moment où la crème s'épaissit. ""}, {'etap_id': 6, 'titre': 'Étape 7', 'description': 'Ne pas laisser boullir. '}, {'etap_id': 7, 'titre': 'Étape 8', 'description': 'Retirer du feu et fouetter activement.'}, {'etap_id': 8, 'titre': 'Étape 9', 'description': 'Réserver dans une saucière au frigo.'}]","[{'id_ingre': 1, 'nom_ingre': 'sucre', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'lait demi-écrémé', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67593_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'vanille', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67724_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'maïzena', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67578_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': ""jaunes d'oeuf"", 'quantity': '4', 'image_ingre': 'https://assets.afcdn.com/recipe/20171128/75634_w96h96c1cx1250cy1250cxb2500cyb2500.jpg'}]"
4,Madeleines faciles,https://assets.afcdn.com/recipe/20161128/3468_w96h96c1cx2617cy1782.jpg,45 min,30 min,-,15 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Préchauffer le four à 240°C (thermostat 8).\nFaire fondre le beurre dans une casserole à feu doux, réserver.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Mélanger les oeufs avec le sucre, jusqu'à ce que le mélange blanchisse. ""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': ""Ajouter ensuite la fleur d'oranger et 40 g de lait.""}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Ajouter la farine et la levure chimique. '}, {'etap_id': 4, 'titre': 'Étape 5', 'description': ""C'est ensuite le tour du beurre et le restant du lait; laisser reposer 15 min.""}, {'etap_id': 5, 'titre': 'Étape 6', 'description': ""Beurrer les moules à madeleines et verser la préparation dedans (mais pas jusqu'en haut, les madeleines vont gonfler !).""}, {'etap_id': 6, 'titre': 'Étape 7', 'description': 'Enfourner à 240°C (thermostat 8), et baisser au bout de 5 min à 200°C (thermostat 6-7); laisser encore 10 min. Surveiller bien la cuisson !'}, {'etap_id': 7, 'titre': 'Étape 8', 'description': 'Démouler dès la sortie du four.'}]","[{'id_ingre': 1, 'nom_ingre': 'sucre', 'quantity': '150', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'farine', 'quantity': '200', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': ""eau de fleur d'oranger"", 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/69026_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 4, 'nom_ingre': 'levure chimique', 'quantity': '8', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67355_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'beurre', 'quantity': '100', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 6, 'nom_ingre': 'lait', 'quantity': '50', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67388_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
5,Flan pâtissier traditionnel,https://assets.afcdn.com/recipe/20160509/38232_w96h96c1cx1959cy2938.jpg,1 h,20 min,-,40 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Faire bouillir le lait avec la gousse de vanille fendue (dans le sens de la longueur).'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Pendant ce temps, mélanger la Maïzena (tamisée, c'est mieux) avec le sucre.""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'et ajouter les oeufs bien battus.'}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Mélanger le tout (bien homogène) '}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'et ajouter le lait bouillant (sans la gousse).'}, {'etap_id': 5, 'titre': 'Étape 6', 'description': 'Cuire la préparation à feu doux sans cesser de remuer pendant environ 1 à 2 min'}, {'etap_id': 6, 'titre': 'Étape 7', 'description': 'Préchauffer le four à 200°C (thermostat 6-7). Foncer un plat rectangulaire ou rond préalablement beurré avec la pâte brisée.'}, {'etap_id': 7, 'titre': 'Étape 8', 'description': 'Piquer le fond.'}, {'etap_id': 8, 'titre': 'Étape 9', 'description': 'Y verser la préparation.'}, {'etap_id': 9, 'titre': 'Étape 10', 'description': 'Lisser la surface.'}, {'etap_id': 10, 'titre': 'Étape 11', 'description': 'Cuire pendant environ 30 à 40 min.'}, {'etap_id': 11, 'titre': 'Étape 12', 'description': 'Laisser refroidir.'}, {'etap_id': 12, 'titre': 'Étape 13', 'description': 'Déguster.'}]","[{'id_ingre': 1, 'nom_ingre': 'pâte brisée', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67610_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'lait', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67388_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'sucre en poudre', 'quantity': '150', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67377_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'maïzena', 'quantity': '90', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67578_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'vanille', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67724_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'oeufs', 'quantity': '4', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
6,Gâteau aux pommes facile,https://assets.afcdn.com/recipe/20170529/37207_w96h96c1cx2000cy3000.jpg,50 min,10 min,-,40 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Préchauffer le four à 160°C (thermostat 5-6).\nMélanger tous les ingrédients de la pâte.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Ajouter les pommes préalablement coupées en cube.'}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Mélanger à nouveau à la spatule.'}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Verser la pâte à gâteau dans un moule beurré et cuire pendant 40 à 50 minutes.'}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Déguster !'}]","[{'id_ingre': 1, 'nom_ingre': 'sucre semoule', 'quantity': '120', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/68916_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 2, 'nom_ingre': 'sucre vanillé', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67644_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'levure chimique', 'quantity': '⁄', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67355_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'farine', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'huile de colza', 'quantity': '⁄', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/68933_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 6, 'nom_ingre': 'pommes', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67365_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'oeufs', 'quantity': '3', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
7,Crumble aux pommes,https://assets.afcdn.com/recipe/20130823/26376_w96h96c1cx1728cy2424.jpg,45 min,20 min,-,25 min,très facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Préchauffer votre four à thermostat 8.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Eplucher, épépiner et couper les pommes en gros morceaux. Les faire réduire à feu fort 2 mn avec une cuillerée à soupe d'eau puis maintenir la cuisson à feu doux pendant 7 à 8 mn.""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Ecraser les derniers gros morceaux de pommes à la fourchette. Mélanger les pommes avec 125 g de sucre et 1/2 cuillère à café de cannelle. Verser ce mélange dans un plat à gratin beurré.'}, {'etap_id': 3, 'titre': 'Étape 4', 'description': ""Travailler énergiquement le beurre. Incorporer le reste du sucre et de le cannelle, ainsi que les 150 g de farine, puis travailler le tout avec les doigts afin d'obtenir un sable grossier.""}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Répartir sur la compote et cuire au four 25 mn (grille centrale).'}]","[{'id_ingre': 1, 'nom_ingre': 'pomme', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67365_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'farine', 'quantity': '150', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'beurre', 'quantity': '75', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 4, 'nom_ingre': 'sucre semoule', 'quantity': '250', 'image_ingre': 'https://assets.afcdn.com/recipe/20170621/68916_w96h96c1cxb700cyb700.jpg'}, {'id_ingre': 5, 'nom_ingre': 'cannelle', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67747_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'glace vanille', 'quantity': '\xa0', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67775_w96h96c1cx350cy350.jpg'}]"
8,P'tit déj aux pommes ,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w96h96c1.jpg,40 min,10 min,-,30 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Préchauffer le four à 180°C (th 6). '}, {'etap_id': 1, 'titre': 'Étape 2', 'description': ""Battre l'oeuf avec le yaourt, la crème fraîche et la farine. ""}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Eplucher et couper les pommes en petits dés. '}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Ajouter les dés de pommes et les amandes au mélange précédent. Bien mélanger et verser dans des petits moules à soufflé de 8,5 cm. '}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Cuire au four 30 minutes.'}]","[{'id_ingre': 1, 'nom_ingre': 'yaourt', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67473_w96h96c1cx350cy350.jpg'}, {'id_ingre': 2, 'nom_ingre': 'crème fraîche', 'quantity': '60', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67763_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'farine', 'quantity': '80', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'pommes', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67365_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'amandes', 'quantity': '20', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67684_w96h96c1cx350cy350.jpg'}, {'id_ingre': 6, 'nom_ingre': 'oeuf', 'quantity': '1', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
9,Cupcakes natures,https://assets.afcdn.com/recipe/20180710/80615_w96h96c1cx1944cy2592cxb3888cyb5184.jpg,45 min,25 min,-,20 min,facile,bon marché,1,"[{'etap_id': 0, 'titre': 'Étape 1', 'description': 'Préparer les gâteaux : mélanger le beurre ramolli et le sucre.'}, {'etap_id': 1, 'titre': 'Étape 2', 'description': 'Battre les œufs en omelette. En mettre la moitié dans le mélange, remuer, puis mettre le reste et remuer à nouveau.'}, {'etap_id': 2, 'titre': 'Étape 3', 'description': 'Mettre la moitié de la farine dans le mélange et remuer, puis verser le reste petit à petit en remuant.'}, {'etap_id': 3, 'titre': 'Étape 4', 'description': 'Verser dans les petits compartiment en papier (qui se trouve en grande surface).'}, {'etap_id': 4, 'titre': 'Étape 5', 'description': 'Cuire 15 min minimum au four préchauffé à thermostat 5/6, selon votre four (150 à 180°C). Surveiller la cuisson.'}, {'etap_id': 5, 'titre': 'Étape 6', 'description': ""Préparer le glaçage : mélanger tous les ingrédients jusqu'à obtenir un joli glaçage épais.""}, {'etap_id': 6, 'titre': 'Étape 7', 'description': 'Sut les petits gâteaux cuits et refroidis, ajouter le glaçage avec une poche à douille (ou un sac congélation dont vous aurez coupé un coin) et décorer de petits bonbons ou de petits grains de sucre coloré.'}, {'etap_id': 7, 'titre': 'Étape 8', 'description': 'Placer au frais pendant 1 heure minimum.\nIls se conservent très bien.'}]","[{'id_ingre': 1, 'nom_ingre': 'beurre', 'quantity': '80', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 2, 'nom_ingre': 'sucre glace', 'quantity': '80', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67532_w96h96c1cx350cy350.jpg'}, {'id_ingre': 3, 'nom_ingre': 'farine', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 4, 'nom_ingre': 'farine', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67682_w96h96c1cx350cy350.jpg'}, {'id_ingre': 5, 'nom_ingre': 'beurre', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20201201/115998_w96h96c1cx912cy821cxb1824cyb1643.jpg'}, {'id_ingre': 6, 'nom_ingre': 'sucre', 'quantity': '125', 'image_ingre': 'https://assets.afcdn.com/recipe/20170607/67691_w96h96c1cx350cy350.jpg'}, {'id_ingre': 7, 'nom_ingre': 'oeufs', 'quantity': '2', 'image_ingre': 'https://assets.afcdn.com/recipe/20220126/128066_w96h96c1cx1140cy1140cxb2280cyb2280.jpg'}]"
