name,url,img_url,category,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,zinc_mg,phosphorus_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_b6_mg,vitamin_c_mg,folate_mcg,thiamin_mg,riboflavin_mg,vitamin_e_iu_IU,vitamin_k_mcg,biotin_mcg,vitamin_b12_mcg,mono_fat_g,poly_fat_g,trans_fatty_acid_g,omega_3_fatty_acid_g,omega_6_fatty_acid_g
Sweet Slow Cooker Ham,https://www.allrecipes.com/recipe/222876/sweet-slow-cooker-ham/,,"Main Dishes ,Pork","This ham is so easy to put together and cook in a slow cooker, and with a meat thermometer you can't go wrong! The juices can be thickened with cornstarch at the end to make a glaze.",4.66,44,40,"1 (16 ounce) package light brown sugar, divided ; 1 (6 to 7 pound) bone-in picnic ham, rinsed ; 1 (20 ounce) can crushed pineapple ; ¾ cup chai tea latte concentrate (such as Tazo®)","Spread about 3/4 of the brown sugar into the bottom of the crock of your slow cooker to cover completely. Place ham atop the brown sugar with the flat side facing down. Pour pineapple over the ham. Rub remaining brown sugar over the ham. Pour chai tea latte concentrate over the ham. Place cover on the slow cooker and cook on Low until an instant-read thermometer inserted into the center of the ham reads at least 160 degrees F (70 degrees C), about 5 1/2 hours. Baste ham once or twice with juices while cooking.",5 mins,5 hrs 30 mins,5 hrs 35 mins,14,14 servings,500.2,40.1,39.3,23.8,8.5,87.7,30.7,0.3,1689.0,213.9,42.1,1.6,35.4,496.0,,,15.2,12.3,,3.8,6.6,0.9,,,,,,,,,,
Dessert Crepes,https://www.allrecipes.com/recipe/19037/dessert-crepes/,,"Breakfast and Brunch ,Crepes","Essential crepe recipe. Sprinkle warm crepes with sugar and lemon, or serve with cream or ice cream and fruit.",4.8,1172,1270,"4 eggs, lightly beaten ; 1 ⅓ cups milk ; 2 tablespoons butter, melted ; 1 cup all-purpose flour ; 2 tablespoons white sugar ; ½ teaspoon salt","In large bowl, whisk together eggs, milk, melted butter, flour sugar and salt until smooth. Heat a medium-sized skillet or crepe pan over medium heat. Grease pan with a small amount of butter or oil applied with a brush or paper towel. Using a serving spoon or small ladle, spoon about 3 tablespoons crepe batter into hot pan, tilting the pan so that bottom surface is evenly coated. Cook over medium heat, 1 to 2 minutes on a side, or until golden brown. Serve immediately.",10 mins,10 mins,20 mins,8,8 crepes,163.8,17.2,5.3,7.7,3.4,111.1,6.4,0.4,234.5,69.0,65.6,1.2,11.2,115.4,,,347.8,2.3,,0.1,43.5,0.2,,,,,,,,,,
Quick and Almost-Professional Buttercream Icing,https://www.allrecipes.com/recipe/174347/quick-and-almost-professional-buttercream-icing/,,"Desserts ,Frostings and Icings","After failing to find the perfect recipe for buttercream icing, I found one that worked for me and then added my own two cents.",4.46,2065,2100,"½ cup unsalted butter, softened ; 1 ½ teaspoons vanilla extract ; 2 cups confectioners' sugar, sifted ; 2 tablespoons milk ; 3 drops food coloring, or as needed (Optional)","Cream room temperature butter with a hand mixer, the paddle attachment of a stand mixer, or a wooden spoon until smooth and fluffy. Gradually beat in confectioners' sugar until fully incorporated. Beat in vanilla extract. Pour in milk and beat for an additional 3 to 4 minutes. Add food coloring, if using, and beat for thirty seconds until smooth or until desired color is reached.",,,,8,2 1/2 cups,227.9,31.5,31.0,11.6,7.3,30.8,0.2,,83.7,104.5,8.3,,0.8,11.0,,,361.8,0.1,,,0.6,,,,,,,,,,,
Spanish Rice Chicken I,https://www.allrecipes.com/recipe/8985/spanish-rice-chicken-i/,,"World Cuisine ,Latin American","This recipe is so quick and is so very simple! It is perfect for making in a recreational vehicle (RV) galley for a quick, delicious dinner on the road and on the go! Andale, pues!",4.13,53,49,"1 (6.8 ounce) package Spanish-style rice mix ; 1 tablespoon butter ; 2 cups hot water ; 1 skinless, boneless chicken breast half - cut into cubes ; 1 cup salsa ; 1 (14.5 ounce) can diced tomatoes with green chile peppers","In a large skillet over medium heat prepare rice according to package directions, using the butter/margarine to brown the vermicelli and rice to a golden brown. Add the water, chicken, salsa and tomatoes and bring all to a boil. Cover skillet, reduce heat and let simmer for approximately 25 to 30 minutes, or until all liquid is absorbed.",10 mins,30 mins,40 mins,6,6 servings,162.4,27.8,3.0,2.6,1.3,16.5,8.5,2.5,1140.4,23.1,39.3,1.5,19.5,251.3,,,509.9,4.8,,10.4,54.0,0.1,,,,,,,,,,
Chocolate Crinkles II,https://www.allrecipes.com/recipe/9861/chocolate-crinkles-ii/,,"Desserts ,Cookies",Chocolate cookies coated in confectioners' sugar...very good!,4.69,2425,2769,1 cup unsweetened cocoa powder ; 2 cups white sugar ; ½ cup vegetable oil ; 4 eggs ; 2 teaspoons vanilla extract ; 2 cups all-purpose flour ; 2 teaspoons baking powder ; ½ teaspoon salt ; ½ cup confectioners' sugar,"In a medium bowl, mix together cocoa, white sugar, and vegetable oil. Beat in eggs one at a time, then stir in the vanilla. Combine the flour, baking powder, and salt; stir into the cocoa mixture. Cover dough, and chill for at least 4 hours. Preheat oven to 350 degrees F (175 degrees C). Line cookie sheets with parchment paper. Roll dough into one inch balls. I like to use a number 50 size scoop. Coat each ball in confectioners' sugar before placing onto prepared cookie sheets. Bake in preheated oven for 10 to 12 minutes. Let stand on the cookie sheet for a minute before transferring to wire racks to cool.",20 mins,12 mins,5 hrs,72,6 dozen,58.0,9.8,6.4,2.0,0.4,10.3,0.9,0.5,33.9,18.0,11.1,0.4,7.1,26.0,,,13.5,0.4,,,8.0,,,,,,,,,,,
Delicious Cinnamon Baked Apples,https://www.allrecipes.com/recipe/228683/delicious-cinnamon-baked-apples/,,"Desserts ,Fruit Desserts",These baked apples taste simply great on a cold winter evening or any other evening. Plus the house smells just divine while cooking them.,4.22,93,109,"1 teaspoon butter ; 2 tablespoons brown sugar ; 3 teaspoons vanilla sugar ; 3 teaspoons ground cinnamon ; 1 teaspoon ground nutmeg ; 6 large apples - peeled, cored, and sliced ; 3 ½ tablespoons water","Preheat oven to 350 degrees F (175 degrees C). Grease a large baking dish with the butter. Mix brown sugar, vanilla sugar, cinnamon, and nutmeg in a small bowl. Layer about 1/3 of the apples in prepared baking dish; sprinkle with 1/3 of the sugar mixture. Repeat layers twice more. Bake in preheated oven for 30 minutes. Pour water over apples and continue baking until tender, about 15 minutes more.",15 mins,45 mins,1 hr,6,6 servings,147.0,37.0,26.6,1.2,0.6,1.8,0.6,5.8,8.7,11.1,29.4,0.4,12.7,239.9,,,139.2,0.3,,9.8,6.9,,,,,,,,,,,
Grandma's Chicken Noodle Soup,https://www.allrecipes.com/recipe/13206/grandmas-chicken-noodle-soup/,,"Soups, Stews and Chili Recipes ,Soup Recipes","This is a recipe that was given to me by my grandmother. It is a very savory and tasty soup and I believe that all will like it. If you would like to add even more flavor, try using smoked chicken!!",4.58,1874,2086,"2 ½ cups wide egg noodles ; 1 teaspoon vegetable oil ; 12 cups chicken broth ; 1 ½ tablespoons salt ; 1 teaspoon poultry seasoning ; 1 cup chopped celery ; 1 cup chopped onion ; ⅓ cup cornstarch ; ¼ cup water ; 3 cups diced, cooked chicken meat","Bring a large pot of lightly salted water to a boil. Add egg noodles and oil, and boil for 8 minutes, or until tender. Drain, and rinse under cool running water. In a large saucepan or Dutch oven, combine broth, salt, and poultry seasoning. Bring to a boil. Stir in celery and onion. Reduce heat, cover, and simmer 15 minutes. In a small bowl, mix cornstarch and water together until cornstarch is completely dissolved. Gradually add to soup, stirring constantly. Stir in noodles and chicken, and heat through.",20 mins,25 mins,45 mins,12,12 servings,146.5,11.4,1.6,3.6,0.9,32.9,15.7,0.7,1663.8,32.1,25.8,1.3,17.9,354.8,,,61.5,9.7,,1.3,30.3,0.1,,,,,,,,,,
Slow Cooker Stuffing,https://www.allrecipes.com/recipe/13571/slow-cooker-stuffing/,,"Side Dish ,Stuffing and Dressing Recipes","This is an easy way to make 'extra' stuffing for a large crowd, saving stove space because it cooks in a slow cooker. Very tasty and moist!",4.52,2231,1879,"1 cup butter or margarine ; 2 cups chopped onion ; 2 cups chopped celery ; ¼ cup chopped fresh parsley ; 12 ounces sliced mushrooms ; 12 cups dry bread cubes ; 1 teaspoon poultry seasoning ; 1 ½ teaspoons dried sage ; 1 teaspoon dried thyme ; ½ teaspoon dried marjoram ; 1 ½ teaspoons salt ; ½ teaspoon ground black pepper ; 4 ½ cups chicken broth, or as needed ; 2 eggs, beaten","Melt butter or margarine in a skillet over medium heat. Cook onion, celery, mushroom, and parsley in butter, stirring frequently. Spoon cooked vegetables over bread cubes in a very large mixing bowl. Season with poultry seasoning, sage, thyme, marjoram, and salt and pepper. Pour in enough broth to moisten, and mix in eggs. Transfer mixture to slow cooker, and cover. Cook on High for 45 minutes, then reduce heat to Low, and cook for 4 to 8 hours.",25 mins,8 hrs 55 mins,9 hrs 20 mins,16,16 servings,196.8,16.6,2.6,13.1,7.7,53.8,3.9,1.5,501.7,118.3,63.2,1.5,13.9,181.3,,,542.7,2.8,,3.7,47.1,0.1,,,,,,,,,,
Dave's Low Country Boil,https://www.allrecipes.com/recipe/44033/daves-low-country-boil/,,"Main Dishes ,Seafood Main Dishes","Famous in the Low Country of Georgia and South Carolina. This boil is done best on an outdoor cooker. It has sausage, shrimp, crab, potatoes and corn for an all-in-one pot all-you-can-eat buffet!",4.79,539,585,"1 tablespoon seafood seasoning (such as Old Bay®), or to taste ; 5 pounds new potatoes ; 3 (16 ounce) packages cooked kielbasa sausage, cut into 1 inch pieces ; 8 ears fresh corn, husks and silks removed ; 5 pounds whole crab, broken into pieces ; 4 pounds fresh shrimp, peeled and deveined","Heat a large pot of water over an outdoor cooker, or medium-high heat indoors. Add   Seasoning to taste, and bring to a boil. Add potatoes, and sausage, and cook for about 10 minutes. Add the corn and crab; cook for another 5 minutes, then add the shrimp when everything else is almost done, and cook for another 3 or 4 minutes. Drain off the water and pour the contents out onto a picnic table covered with newspaper. Grab a paper plate and a beer and enjoy!",30 mins,30 mins,1 hr,15,15 servings,722.0,45.8,5.1,29.4,9.2,333.2,67.6,5.5,1575.9,264.6,167.7,5.8,187.7,1878.4,,,499.8,28.6,,42.7,130.4,0.6,,,,,,,,,,
Best Spanish Rice,https://www.allrecipes.com/recipe/33385/best-spanish-rice/,,"Side Dish ,Rice Side Dish Recipes",The combination of picante sauce and chicken broth makes this easy recipe very tasty!,4.6,3109,3167,2 tablespoons oil ; 2 tablespoons chopped onion ; 1 ½ cups uncooked white rice ; 2 cups chicken broth ; 1 cup chunky salsa,"Heat oil in a large, heavy skillet over medium heat. Stir in onion, and cook until tender, about 5 minutes. Mix rice into skillet, stirring often. When rice begins to brown, stir in chicken broth and salsa. Reduce heat, cover and simmer 20 minutes, until liquid has been absorbed.",10 mins,20 mins,30 mins,5,5 servings,286.0,50.9,2.3,6.2,1.0,2.0,5.7,1.6,696.6,55.8,31.4,2.2,28.1,218.4,,,151.3,3.5,,1.2,99.2,0.3,,,,,,,,,,
