name,url,img_data_url,category,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,zinc_mg,phosphorus_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_b6_mg,vitamin_c_mg,folate_mcg,thiamin_mg,riboflavin_mg,vitamin_e_iu_IU,vitamin_k_mcg,biotin_mcg,vitamin_b12_mcg,mono_fat_g,poly_fat_g,trans_fatty_acid_g,omega_3_fatty_acid_g,omega_6_fatty_acid_g
Dessert Crepes,https://www.allrecipes.com/recipe/19037/dessert-crepes/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4511555.jpg,"Breakfast and Brunch,Crepes","Essential crepe recipe. Sprinkle warm crepes with sugar and lemon, or serve with cream or ice cream and fruit.",4.8,1173,1270,"4 eggs, lightly beaten , 1 ⅓ cups milk , 2 tablespoons butter, melted , 1 cup all-purpose flour , 2 tablespoons white sugar , ½ teaspoon salt","In large bowl, whisk together eggs, milk, melted butter, flour sugar and salt until smooth. Heat a medium-sized skillet or crepe pan over medium heat. Grease pan with a small amount of butter or oil applied with a brush or paper towel. Using a serving spoon or small ladle, spoon about 3 tablespoons crepe batter into hot pan, tilting the pan so that bottom surface is evenly coated. Cook over medium heat, 1 to 2 minutes on a side, or until golden brown. Serve immediately.",10 mins,10 mins,20 mins,8,8 crepes,163.8,17.2,5.3,7.7,3.4,111.1,6.4,0.4,234.5,69.0,65.6,1.2,11.2,115.4,,,347.8,2.3,,0.1,43.5,0.2,,,,,,,,,,
Copycat Panera® Broccoli Cheddar Soup,https://www.allrecipes.com/recipe/235874/copycat-panera-broccoli-cheddar-soup/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F07%2F31%2F4488560.jpg,"Soups, Stews and Chili Recipes,Soup Recipes","My husband loves Panera® broccoli cheddar soup but it went up in price and therefore we set out on a hunt to create the perfect broccoli cheddar soup. Here is what we came up with. There are tons of variations and options to make this soup your own. You can add extra veggies, different cheeses, garlic to your onions, a little nutmeg to the finished soup, green onions, sour cream, etc. The list goes on and on. Make it your own! Serve topped with cheese!",4.52,1673,1783,"1 tablespoon butter , ½ onion, chopped , ¼ cup melted butter , ¼ cup flour , 2 cups milk , 2 cups chicken stock , 1 ½ cups coarsely chopped broccoli florets , 1 cup matchstick-cut carrots , 1 stalk celery, thinly sliced , 2 ½ cups shredded sharp Cheddar cheese ,  salt and ground black pepper to taste","Melt 1 tablespoon butter in a skillet over medium-high heat. Saute onion in hot butter until translucent, about 5 minutes. Set aside. Whisk 1/4 cup melted butter and flour together in a large saucepan over medium-low heat. Continue to whisk and cook , adding 1 to 2 tablespoons of milk if necessary to keep the flour from burning, 3 to 4 minutes. Gradually pour milk into flour mixture while whisking constantly. Stir chicken stock into milk mixture. Bring to a simmer; cook until mixture is thickened, about 20 minutes. Add broccoli, carrots, sauteed onion, and celery; simmer until vegetables are tender, about 20 minutes. Stir Cheddar cheese into vegetable mixture until cheese melts. Season with salt and pepper to taste.",15 mins,50 mins,1 hr 5 mins,8,8 servings,304.4,10.7,5.0,23.0,14.4,70.5,14.3,1.3,624.0,206.7,403.3,0.7,27.2,277.1,,,3446.7,3.4,,17.6,36.5,0.1,,,,,,,,,,
Simple Macaroni and Cheese,https://www.allrecipes.com/recipe/238691/simple-macaroni-and-cheese/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F11%2F17%2F238691-simple-mac-and-cheese-DivergentB-2x1-1.jpg,"Main Dishes,Pasta","A very quick and easy fix to a tasty side-dish. Fancy, designer mac and cheese often costs forty or fifty dollars to prepare when you have so many exotic and expensive cheeses, but they aren't always the best tasting. This recipe is cheap and tasty.",4.42,867,877,"1 (8 ounce) box elbow macaroni , ¼ cup butter , ¼ cup all-purpose flour , ½ teaspoon salt ,  ground black pepper to taste , 2 cups milk , 2 cups shredded Cheddar cheese","Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes. Drain. Melt butter in a saucepan over medium heat; stir in flour, salt, and pepper until smooth, about 5 minutes. Slowly pour milk into butter-flour mixture while continuously stirring until mixture is smooth and bubbling, about 5 minutes. Add Cheddar cheese to milk mixture and stir until cheese is melted, 2 to 4 minutes. Fold macaroni into cheese sauce until coated.",10 mins,20 mins,30 mins,4,4 servings,630.2,55.0,7.6,33.6,20.9,99.6,26.5,2.1,777.0,302.2,567.9,2.7,61.8,380.0,,,1152.0,10.1,,0.3,165.6,0.7,,,,,,,,,,
Apple Crisp II,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F08%2F02%2F277070-Apple-Crisp-II-Photo-by-Jennifer-Baker-2000.jpg,"Desserts,Crisps and Crumbles Recipes",A simple dessert that's great served with ice cream.,4.7,8011,8348,"10 cups all-purpose apples, peeled, cored and sliced , 1 cup white sugar , 1 tablespoon all-purpose flour , 1 teaspoon ground cinnamon , ½ cup water , 1 cup quick-cooking oats , 1 cup all-purpose flour , 1 cup packed brown sugar , ¼ teaspoon baking powder , ¼ teaspoon baking soda , ½ cup butter, melted","Preheat oven to 350 degrees F (175 degree C). Place the sliced apples in a 9x13 inch pan. Mix the white sugar, 1 tablespoon flour and ground cinnamon together, and sprinkle over apples. Pour water evenly over all. Combine the oats, 1 cup flour, brown sugar, baking powder, baking soda and melted butter together. Crumble evenly over the apple mixture. Bake at 350 degrees F (175 degrees C) for about 45 minutes.",30 mins,45 mins,1 hr 20 mins,12,1 9x13-inch pan,316.0,60.5,44.1,8.4,5.0,20.3,2.4,3.3,97.9,75.4,36.2,1.1,18.4,162.3,,,286.4,1.3,,4.2,25.6,0.2,,,,,,,,,,
Chef John's Perfect Prime Rib,https://www.allrecipes.com/recipe/221958/chef-johns-perfect-prime-rib/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F10%2F12%2F221958-Chef-John-Perfect-Prime-Rib-2000.jpg,"Meat and Poultry,Beef","This is a specific formula for achieving a perfectly pink prime rib cooked somewhere a shade under medium rare. To use this method you must have a full-sized, modern oven with a digital temperature setting that indicates when it is preheated. Older ovens with manual controls can vary greatly, and the doors may not have the proper insulation.",4.77,2121,2004,"4 pounds prime rib roast , ¼ cup unsalted butter, softened , 1 tablespoon freshly ground black pepper , 1 teaspoon herbes de Provence ,  kosher salt","Place rib roast on a plate and bring to room temperature, about 4 hours. Preheat an oven to 500 degrees F (260 degrees C). Combine butter, pepper, and herbes de Provence in a bowl; mix until well blended. Spread butter mixture evenly over entire roast. Season roast generously with kosher salt. Roast the 4-pound prime rib (see footnote if using a larger and smaller roast) in the preheated oven for 20 minutes. Turn the oven off and, leaving the roast in the oven with the door closed, let the roast sit in the oven for 2 hours. Remove roast from the oven, slice, and serve.",10 mins,2 hrs 20 mins,6 hrs 30 mins,4,4 servings,1756.9,1.0,,160.6,69.5,361.6,72.5,0.4,342.7,1445.5,51.2,8.0,71.4,1189.3,,,359.3,25.8,,0.3,23.3,0.4,,,,,,,,,,
Butternut Squash Soup II,https://www.allrecipes.com/recipe/77981/butternut-squash-soup-ii/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F08%2F77981-butternut-squash-soup-ii-tout-AR.jpg,"Soups, Stews and Chili Recipes,Soup Recipes","This is a thick, rich soup with tons of flavor. Something I whipped up off the top of my head, with things I had on hand. Super easy, quick, and a great way to use squash. An instant hit at my house.",4.64,2514,2536,"2 tablespoons butter , 1 small onion, chopped , 1 stalk celery, chopped , 1 medium carrot, chopped , 2 medium potatoes, cubed , 1 medium butternut squash - peeled, seeded, and cubed , 1 (32 fluid ounce) container chicken stock ,  salt and freshly ground black pepper to taste","Melt the butter in a large pot, and cook the onion, celery, carrot, potatoes, and squash 5 minutes, or until lightly browned. Pour in enough of the chicken stock to cover vegetables. Bring to a boil. Reduce heat to low, cover pot, and simmer 40 minutes, or until all vegetables are tender. Transfer the soup to a blender, and blend until smooth. Return to pot, and mix in any remaining stock to attain desired consistency. Season with salt and pepper.",25 mins,45 mins,1 hr 10 mins,4,4 servings,305.1,59.7,10.5,6.8,3.8,20.9,6.9,9.5,1151.4,61.2,177.5,3.1,135.6,1650.4,,,35991.2,6.4,,89.1,111.5,0.4,,,,,,,,,,
Debbie's Amazing Apple Bread,https://www.allrecipes.com/recipe/231288/debbies-amazing-apple-bread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1052046.jpg,"Bread,Quick Bread Recipes","I was given this recipe years ago by my friend Debbie. I've had it written down on a torn piece of paper for years and decided today that this recipe needs to be on AllRecipes. It is a moist, sweet, and delicious bread with a crispy crust. By far my favorite bread recipe!",4.11,344,328,"2 eggs , 2 cups white sugar , ½ cup vegetable oil , 2 teaspoons vanilla extract , 2 cups apples, peeled and diced , 2 cups all-purpose flour , 1 ½ teaspoons salt , 1 teaspoon baking powder , ½ teaspoon ground cinnamon, or more to taste","Preheat oven to 350 degrees F (175 degrees C). Grease a loaf pan. Beat eggs, sugar, vegetable oil, and vanilla extract in a mixing bowl; add apples. Mix flour, salt, baking powder, and cinnamon in a separate bowl; add to apple mixture and stir just until evenly combined into a thick batter. Pour batter into the prepared loaf pan. Bake in the preheated oven for 45 minutes. Cover loaf pan with aluminum foil; continue baking until a toothpick inserted into the center comes out clean, about 15 minutes more. Cool in the pan for 10 minutes before removing to cool completely on a wire rack.",15 mins,1 hr,1 hr 15 mins,10,1 loaf,372.5,62.9,42.8,12.2,2.1,37.2,3.9,1.3,412.4,109.7,39.4,1.4,8.3,69.6,,,62.5,2.3,,1.2,51.2,0.2,,,,,,,,,,
Hot Water Cornbread,https://www.allrecipes.com/recipe/6953/hot-water-cornbread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6067388.jpg,"Bread,Quick Bread Recipes","This is a very old-fashioned recipe. The cornbread is shaped into little cakes and fried, rather than baked. They are served with maple syrup or honey.",4.34,184,198,"1 cup cornmeal , 1 teaspoon salt , 1 teaspoon white sugar , 1 tablespoon shortening , ¾ cup boiling water","In a medium bowl, combine cornmeal, salt, and sugar. Add boiling water and shortening; stir until shortening melts. Pour oil or bacon fat to a depth of 1/2 inch in a large skillet and heat to 375 degrees F (190 degrees C). Shape cornmeal mixture into flattened balls using a heaping tablespoon as a measuring guide. Fry each in hot oil, turning once, until crisp and golden brown, about 5 minutes. Drain on paper towels. Serve at once with maple syrup or honey.",5 mins,10 mins,15 mins,6,12 cakes,95.2,16.3,0.8,2.9,0.6,,1.7,1.5,395.6,25.8,2.4,0.7,26.1,58.7,,,43.5,0.9,,,5.1,0.1,,,,,,,,,,
Amazingly Easy Irish Soda Bread,https://www.allrecipes.com/recipe/16947/amazingly-easy-irish-soda-bread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F-0001%2F11%2F30%2F995189.jpg,"Bread,Quick Bread Recipes",A good old fashioned soda bread with just the basic ingredients. Buttermilk gives this crusty loaf a good flavor. The best Irish soda bread around!,4.47,1595,1656,"4 cups all-purpose flour , 4 tablespoons white sugar , 1 teaspoon baking soda , 1 tablespoon baking powder , ½ teaspoon salt , ½ cup margarine, softened , 1 cup buttermilk , 1 egg , ¼ cup butter, melted , ¼ cup buttermilk","Preheat oven to 375 degrees F (190 degrees C). Lightly grease a large baking sheet. In a large bowl, mix together flour, sugar, baking soda, baking powder, salt and margarine. Stir in 1 cup of buttermilk and egg. Turn dough out onto a lightly floured surface and knead slightly. Form dough into a round and place on prepared baking sheet. In a small bowl, combine melted butter with 1/4 cup buttermilk; brush loaf with this mixture. Use a sharp knife to cut an 'X' into the top of the loaf. Bake in preheated oven until a toothpick inserted into the center of the loaf comes out clean, 45 to 50 minutes. Check for doneness after 30 minutes. You may continue to brush the loaf with the butter mixture while it bakes.",15 mins,50 mins,1 hr 5 mins,20,1 1 1/2 pound loaf,171.6,22.5,3.3,7.5,2.5,16.0,3.5,0.7,269.1,67.4,53.0,1.3,7.8,56.2,,,289.7,2.2,,0.2,47.8,0.2,,,,,,,,,,
Classic Waffles,https://www.allrecipes.com/recipe/20513/classic-waffles/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F03%2F34761.jpg,"Breakfast and Brunch,Waffle Recipes","A lovely, crispy waffle perfect for the morning.",4.54,3797,4141,"2 cups all-purpose flour , 1 teaspoon salt , 4 teaspoons baking powder , 2 tablespoons white sugar , 2 eggs , 1 ½ cups warm milk , ⅓ cup butter, melted , 1 teaspoon vanilla extract","In a large bowl, mix together flour, salt, baking powder and sugar; set aside. Preheat waffle iron to desired temperature. In a separate bowl, beat the eggs. Stir in the milk, butter and vanilla. Pour the milk mixture into the flour mixture; beat until blended. Ladle the batter into a preheated waffle iron. Cook the waffles until golden and crisp. Serve immediately.",10 mins,15 mins,25 mins,5,10 to 12 waffles,379.0,47.6,8.8,16.2,9.4,112.8,10.2,1.4,899.1,145.8,267.3,3.0,22.6,195.8,,,613.9,5.1,,0.1,105.0,0.4,,,,,,,,,,
